"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","Ros","+/-","GP","FG-","3PTM","FT-","PTS","OREB","REB","AST","ST","BLK","TO","TF","EJ","3D","2D"
"*03e75*","Nikola Jokic","DEN","C,Flx","1","PartyMar","","8112","102.68","100%","0%","79","589.0","83","80","2,085","223","976","708","108","68","237","7","2","25","68"
"*04kj6*","Luka Doncic","LAL","G,Flx","2","ASS","@CHA Mon 7:00PM","7465","106.64","100%","0%","70","848.0","284","130","2,370","59","647","686","99","38","282","15","0","21","49"
"*042n7*","Domantas Sabonis","SAC","C,Flx","3","Bomb","","7241","88.3","100%","0%","82","434.0","33","123","1,593","294","1,120","673","74","48","272","1","0","26","77"
"*031m2*","Giannis Antetokounmpo","MIL","F,C,Flx","4","HAIRY","@DAL Mon 8:30PM","7044","96.49","100%","0%","73","532.0","34","268","2,222","196","841","476","87","79","250","5","1","10","57"
"*02nf1*","Anthony Davis","DAL","F,C,Flx","5","9/11FT","MIL Mon 8:30PM","6741","88.7","99%","-0.2%","76","570.0","29","95","1,876","239","961","266","91","178","159","3","0","2","64"
"*04qro*","Shai Gilgeous-Alexander","OKC","G,Flx","6","L Bozo","","6495","86.6","100%","0%","75","691.0","95","82","2,254","65","415","465","150","67","162","0","0","0","8"
"*0011e*","LeBron James","LAL","F,Flx","7","420","@CHA Mon 7:00PM","5966","84.03","98%","0%","71","584.0","149","101","1,822","61","518","589","89","38","245","4","0","5","27"
"*06cch*","Victor Wembanyama","SA","C,Flx","8","9/11FT","@CHI Mon 8:00PM","5760","81.13","100%","0%","71","635.0","128","75","1,522","161","755","274","88","254","260","2","0","2","43"
"*03xmv*","Jayson Tatum","BOS","F,Flx","9","FA","","5693","76.93","66%","-0.8%","74","754.0","229","83","1,987","67","601","364","75","43","188","10","2","0","25"
"*001aw*","Kevin Durant","HOU","G,F,Flx","10","UBER","","5612","74.83","99%","+0.1%","75","685.0","168","61","2,032","41","495","378","69","91","244","6","0","1","14"
"*05qtv*","Tyrese Haliburton","IND","G,Flx","11","FA","","5609","81.29","48%","-0.1%","69","548.0","195","33","1,389","35","271","752","83","48","159","1","0","1","44"
"*04qsa*","Jalen Brunson","NY","G,Flx","12","GN","","5545","72.01","100%","0%","77","858.0","211","76","2,212","43","278","519","70","13","186","2","0","0","9"
"*049kb*","DeAaron Fox","SA","G,Flx","13","Penta","@CHI Mon 8:00PM","5406","73.05","98%","+0.2%","74","829.0","214","111","1,966","67","340","418","150","31","194","10","0","0","6"
"*042nq*","Dejounte Murray","NO","G,Flx","14","Bomb","@PHO Mon 9:00PM","5289","67.81","73%","+0.1%","78","791.0","201","54","1,753","62","416","502","111","24","201","4","0","1","20"
"*05qug*","Anthony Edwards","MIN","G,F,Flx","15","GN","@UTA Mon 9:00PM","5270","66.71","100%","0%","79","840.0","190","83","2,049","52","430","405","101","42","241","15","0","0","9"
"*01enh*","Stephen Curry","GS","G,Flx","16","GWBush","","5234","70.73","99%","0%","74","795.0","357","25","1,956","37","330","379","54","28","210","2","0","0","7"
"*06211*","Chet Holmgren","OKC","F,C,Flx","17","L Bozo","","5081","61.96","100%","0%","82","448.0","129","57","1,357","129","648","200","53","190","131","0","0","0","23"
"*02nf6*","Damian Lillard","POR","G,Flx","18","FA","@ORL Mon 7:00PM","5045","69.11","37%","-0.1%","73","736.0","220","41","1,775","36","320","508","72","18","193","3","0","0","12"
"*02xg9*","Rudy Gobert","MIN","C,Flx","19","HAIRY","@UTA Mon 9:00PM","5036","66.26","98%","-0.1%","76","208.0","0","141","1,061","285","982","102","52","162","118","4","0","0","54"
"*04848*","Fred VanVleet","HOU","G,Flx","20","FA","","4977","68.18","39%","-0.4%","73","595.0","227","32","1,270","33","278","589","101","59","126","8","0","0","20"
"*01eo6*","James Harden","LAC","G,Flx","21","ASS","ATL Mon 10:30PM","4974","69.08","100%","0%","72","470.0","186","42","1,192","34","369","614","77","57","185","2","0","3","23"
"*042nm*","Pascal Siakam","IND","F,C,Flx","22","BALL","","4970","62.12","99%","0%","80","590.0","85","106","1,737","139","565","342","63","25","141","4","0","1","15"
"*03nwm*","Devin Booker","PHO","G,F,Flx","23","HAIRY","NO Mon 9:00PM","4950","72.79","100%","+0.1%","68","663.0","152","52","1,841","56","308","472","61","28","178","10","1","0","13"
"*01eon*","DeMar DeRozan","SAC","F,Flx","24","GWBush","","4923","62.32","100%","-0.2%","79","705.0","75","90","1,897","43","340","421","90","45","135","6","2","0","7"
"*04ewm*","Jarrett Allen","CLE","C,Flx","25","9/11ST","@MIA Mon 7:30PM","4918","63.87","99%","-0.1%","77","300.0","0","81","1,271","243","811","210","53","81","121","1","0","0","42"
