"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","Ros","+/-","GP","FG-","3PTM","FT-","PTS","OREB","REB","AST","ST","BLK","TO","TF","EJ","3D","2D"
"*03e75*","Nikola Jokic","DEN","C,Flx","1","PartyMar","","6984","101.22","100%","0%","69","376.0","57","74","1,690","167","817","678","87","47","247","4","0","29","58"
"*042n7*","Domantas Sabonis","SAC","C,Flx","2","Bomb","","6528","82.63","100%","0%","79","361.0","31","113","1,510","251","973","573","65","39","230","2","0","14","65"
"*04kj6*","Luka Doncic","LAL","G,Flx","3","ASS","@CHA Mon 7:00PM","6201","93.95","100%","0%","66","730.0","185","179","2,138","54","569","529","90","33","236","17","1","10","36"
"*03xmv*","Jayson Tatum","BOS","F,Flx","4","FA","","6109","82.55","66%","-0.7%","74","832.0","240","91","2,225","78","649","342","78","51","213","11","1","1","31"
"*03al2*","Joel Embiid","PHI","C,Flx","5","ASS","","6041","91.53","98%","+0.1%","66","600.0","66","110","2,183","113","670","274","66","112","226","6","0","1","39"
"*031m2*","Giannis Antetokounmpo","MIL","F,C,Flx","6","HAIRY","@DAL Mon 8:30PM","5513","87.51","100%","0%","63","571.0","47","274","1,959","137","742","359","52","51","246","6","0","6","46"
"*03ajv*","Julius Randle","MIN","F,Flx","7","PRO","@UTA Mon 9:00PM","5500","71.43","100%","+0.1%","77","774.0","218","129","1,936","141","767","316","49","21","216","11","1","0","40"
"*04qro*","Shai Gilgeous-Alexander","OKC","G,Flx","8","L Bozo","","5398","79.38","100%","0%","68","677.0","58","70","2,135","59","329","371","112","65","192","2","0","0","3"
"*027p0*","Nikola Vucevic","CHI","C,Flx","9","9/11ST","SA Mon 8:00PM","5343","65.16","100%","0%","82","551.0","121","26","1,447","159","903","265","60","57","139","8","1","1","51"
"*04qrk*","Trae Young","ATL","G,Flx","10","9/11ST","@LAC Mon 10:30PM","5306","72.68","99%","-0.6%","73","793.0","154","73","1,914","56","217","741","80","9","300","17","1","0","40"
"*05qug*","Anthony Edwards","MIN","G,F,Flx","11","GN","@UTA Mon 9:00PM","5177","65.53","100%","0%","79","834.0","213","103","1,946","47","458","350","125","58","259","14","1","0","9"
"*02nf6*","Damian Lillard","POR","G,Flx","12","FA","@ORL Mon 7:00PM","5003","86.26","37%","-0.1%","58","646.0","244","48","1,866","44","277","425","50","18","191","8","0","2","16"
"*042nm*","Pascal Siakam","IND","F,C,Flx","13","BALL","","4990","70.28","99%","0%","71","683.0","93","107","1,720","131","556","415","65","36","169","6","0","2","24"
"*04ewe*","Donovan Mitchell","CLE","G,Flx","14","Penta","@MIA Mon 7:30PM","4966","73.03","100%","+0.1%","68","723.0","245","49","1,922","63","289","301","99","27","180","2","1","0","5"
"*01eo6*","James Harden","LAC","G,Flx","15","ASS","ATL Mon 10:30PM","4813","82.98","100%","0%","58","471.0","161","48","1,216","40","354","618","71","31","195","3","0","5","36"
"*049kb*","DeAaron Fox","SA","G,Flx","16","Penta","@CHI Mon 8:00PM","4801","65.77","98%","+0.1%","73","649.0","119","97","1,826","40","306","447","83","23","181","11","1","0","11"
"*02nf1*","Anthony Davis","DAL","F,C,Flx","17","9/11FT","MIL Mon 8:30PM","4786","85.46","99%","-0.2%","56","420.0","19","96","1,451","195","702","148","59","114","122","1","0","0","40"
"*01enh*","Stephen Curry","GS","G,Flx","18","GWBush","","4760","85","99%","0%","56","574.0","273","24","1,648","39","341","352","52","20","179","5","1","1","12"
"*03ams*","Zach LaVine","SAC","G,F,Flx","19","420","","4744","61.61","98%","-0.2%","77","715.0","204","65","1,913","42","345","327","69","18","194","3","0","0","2"
"*04ewf*","Bam Adebayo","MIA","F,C,Flx","20","GN","CLE Mon 7:30PM","4707","62.76","100%","0%","75","512.0","1","78","1,529","184","688","240","88","61","187","7","1","0","31"
"*04azw*","Lauri Markkanen","UTA","F,Flx","21","TRUMP","MIN Mon 9:00PM","4685","70.98","99%","-0.1%","66","574.0","200","50","1,691","130","570","123","42","38","127","0","0","0","28"
